0.0  Yes . I have to stay in bed today , but I'll be able to come tomorrow . 	1.0  That's all right . Have a good rest until you feel well enough . 
0.0  It was a great game . 	1.0  What was the score at the end of the game ? 
0.0 Whale of a Time sounds great. Can you tell me what area of town they are in? And the postcode please?	1.0 Whale of a Time is in the West and is in postcode cb238el.
0.0  One yuan fifty cents . Drop it in the box here . 	1.0  Is this the right bus to Zizhuyuan Park ? 
0.0 I also need a train from Cambridge on Tuesday.	1.0 Where will you be traveling too?
0.0 No, that is all I need. Thank you.	1.0 You're more than welcome!
0.0  I see . The fall in Beijing is really beautiful . 	1.0  But the summer isn't . It's scorching in the summer . 
0.0  That sounds nice . Do you want to share some kebabs as well ? 	1.0  Ok . How about some lamb kebabs ? 
0.0 What is the price range? Can I also get the address and postcode?	1.0 The bridge guest house is moderately priced and is at 151 hills road, postcode cb28rj.
0.0  Actually , many jobs are filled by people who select vacancies from the display boards there . 	1.0  Then , what do you think I should do ? 
0.0 What about a museum in the center of town -- is there anything like that?	1.0 The Museum of Archaelogy and Anthropology is located in the center of town.
0.0 hello there   my dog wonton says hello too  	1.0 Where are you?
0.0 Look out ! A small boy is rushing out blindly . 	1.0  Gee , how dangerous ! I've almost knocked him down . 
0.0 I would like an Italian restaurant in the centre and need a reservation for 6 people at 14:00 on Monday and please provide the reference number.	1.0 I have reserved a table at pizza express. Your reference number is STRPXCFT . Do you need anything else?
0.0 I do not speak English, but I do not have a job	1.0 i am a musician
0.0 must have free wi fi	1.0 There's quite a few. I personally like the acorn guest house. It's 4 stars with internet access. It's located at 154 chesterton road.
0.0 Moderately priced in the centre, please.	1.0 Unfortunately, there is no hotel in the moderately priced area
0.0 Yes, do either include free wifi or free parking?	1.0 Yes, both of them have free wifi & parking. Would you like to book this for you? Just tell me which hotel you prefer.
0.0  Do you have your library card ? 	1.0  Here it is . 
0.0  Yes , I am trying to find good movers now . Do you know any ? 	1.0  Not really . 
0.0 what do you like to do in your spare time?	1.0 I like to go out to eat and eat out.
0.0 How long is the ride?	1.0 The ride is 28 minutes. Would you like me to book a ticket?
0.0  How long are you going to stay in the United States ? 	1.0  Three weeks . 
0.0 We will be there for 4 nights.	1.0 How many people will be staying?
0.0  how ’ s it going ? 	1.0  it started off a bit slow , but now , business is really booming ! 
0.0 Yes, I need to find a restaurant that serves international food and is cheap. Also I need it in the same area as my hotel.	1.0 The Missing Sock is near your hotel and has cheap International Food.
0.0  Of course , yes . They look nice . And they're not expensive . 	1.0  How much are they ? 
0.0 Can I please also book a taxi between the museum and the restaurant?	1.0 When would you like the leave and arrive by?
0.0 The reference number please!	1.0 Your reference number is LPMF11YC .
0.0 Yeah, could you book me a room for 2 people for 4 nights starting Tuesday?	1.0 Your reference number is 91WNH1R1 . For the arbury lodge guesthouse, starting tuesday for 2 nights, and 4 guests. Can I assist with anything else?
0.0 Partner found!	1.0 Searching for peer. Please wait...
0.0 Searching for peer. Please wait...	1.0 Partner found!
0.0 hello	1.0 how old are you?
0.0  What kind of visuals should I use to support the presentation ? Do you think I should use PowerPoint ? 	1.0  You should consider the size and interests of your audience . In other words , who is listening , and what do they want to hear ... you can put together a PPT with some graphics and animations that will catch people's attention , but be careful not to go overboard . 
0.0 Are you ready to order , madam ? 	1.0  I'm on a diet . So I have to avoid food containing too much fat . Do you have vegetarian dishes ? 
0.0 I am. I do not like tacos though.	1.0 Me too. Bye
0.0 are you at the beach?	1.0 Yes beach is here
0.0 Nope, that's what I was looking for. Thanks a lot!	1.0 Thank you very much for using the Cambridge Restaurant System.
0.0 Well, can you recommend me another expensive restaurant. I need the address and the phone number to make a reservation.	1.0 Caffe Uno is an expensive Italian restaurant in the centre. It can be located at 32 Bridge Street City Centre and the phone number is 01223448620.
0.0 how old are you?	1.0 I'm 77
0.0 Joe , can you squeeze me in sometime today ? 	1.0  That's a big order , Jane . I am really swamped . 
0.0 Yes, could you book a table for 1 at 11:30 on thursday?	1.0 Your booking was successful. The table will be reserved for 15 minutes. Reference number is : K2Y3OZAK . Is there anything else I can assist you with today?
0.0 I also need a place to stay in the centre of town n the moderate price range.	1.0 There is one hotel under that criteria by the name of cityroomz, would you like more information or a booking?
0.0 I also need a place to stay. I need a hotel that is 4 star and of moderate price.	1.0 I have about 11 different options. All are guesthouses. Do you have a preference on area so that we can narrow it down?
0.0 That's perfect, actually. I am going to need 7 tickets. Can you help with that as well?	1.0 Yes, I can. Should I make a booking for you?
0.0  You dance well . Do you breakdance ? 	1.0  Me , what brought that on ? 
0.0 Do you like the room ? 	1.0  Yes . What is the rent ? 
0.0 I am looking to get a train to cambridge from kings lynn	1.0 I can certainly help with that. When did you want to travel?
0.0 Could you please give me the arrival time and confirm that the price is still 12.80	1.0 Yes, the price is still 12.80. It arrives at 8:43.
0.0 Is it possible to change Friday to Saturday instead?	1.0 Absolutely. TR8364 will depart cambridge for kings lynn at 16:11 on Saturday. Would you like to book passage on that train?
0.0 No thank you, you have been very helpful. Have a great day.	1.0 Thank you for contacting Cambridge TownInfo centre. Have a great time! Goodbye!
0.0 Hello ? Can you give me a tow ? My tour car's stranded . 	1.0  Sure . Where are you ? 
0.0 Have you had any experience with sales work ? 	1.0  Yes , I have . In fact , I had worked for a foreign trade company for nearly two years , where I established business ties with several firms . 
0.0 Yes I would like it to be on the North part of town.	1.0 There are quite a few guesthouses in that area. Would a guesthouse meet your needs?
0.0 I also need a cheap place to eat in the center of town.	1.0 There are several listings. Do you have a food preference?
0.0 That sounds fine, can you book a table for 3 at 11:45 on Wednesday please?	1.0 You are booked for Weds at the ugly duckling refs number is U1BCCKQX
0.0  What about the car over there ? 	1.0  It is marvelous , and the price is marvelous , as well . 
0.0 I need a train on Thursday. Find me one that leaves after 14:00	1.0 Where are you going and coming from?
0.0 Searching for peer. Please wait...	1.0 Partner found!
0.0 Great. Is there an entrance fee for that gallery?	1.0 No it is free for everyone. Anything else that I can help with?
0.0  don't be silly . You guys should spend as much time together as you can . Besides we can go to the beach anytime . 	1.0  thanks for understanding . 
0.0 women weren't even allowed to vote when i was a child .	1.0 Okay, I get it
0.0 okay. cheap is good	1.0 I have a cheap guest house in the center, 0 stars. El Shaddai. Shall I book it for you?
0.0 Can you help me find a cheap restaurant in the north with indian food?	1.0 Yes I have one restaurant matching your criteria called Royal Spice. Would you like their telephone number?
0.0 Either will be fine	1.0 I have 3 guesthouses and 1 hotel. Do you have a ratings preference?
0.0 I ’ m going to the beauty parlor . Do you want to come too ? 	1.0  Sure . Let ’ s go . What are you going to have done ? 
0.0  Sorry . This is 321-9887 . 	1.0  I am really sorry . 
0.0 I'm flying into Stansted Airport and I'd like a train in to Cambridge. My flight arrives at 08:45, so something after that. It'll just be me.	1.0 The next available train will depart at 09:24, shall I book that for you?
0.0  What kind of drink do you want with those ? 	1.0  One Coke and the other a Sprite , please . 
0.0 yes. tell me about your family	1.0 i ve one she s spoiled
0.0  Can I stop by ? 	1.0  Sure . Any time . 
0.0 Okay. And what would be the length of travel?	1.0 travel time is 47 minutes
0.0 I am a nurse.  I care for elderly and disabled I love my job	1.0 😉
0.0 he does actually   right by our favorite pizza place   we love pizza  	1.0 i prefer donuts
0.0 i like 😻 swimming in the ocean and looking for sharks reading moby dick and dancing	1.0 this dialogue is pretty meaningless
0.0 How long is the trip on the TR5154?	1.0 Each train on that route makes the run in 88 minutes.
0.0 I like to garden	1.0 do you like playing in garden?
0.0 do you have any children ? we have three and are thinking of having a fourth .	1.0 i have a boyfriend.
0.0 Text is not given. Please try to type /end and /test to reset the state and get text.	1.0 from where you are?
0.0  You know , I saw that and it looks pretty good ! 	1.0  Let ’ s go check it out again ! 
0.0 Hey! 👋 	1.0 
0.0 Tell me about yourself!	1.0 i have a bmw. i plan to go to business school. and my parents are quite rich
0.0 That's it, thank you.	1.0 Have a good day
0.0 I would like to dine in the centre area, so let's go with Nandos City Centre.	1.0 Sure. How many seats will you need to reserve for the restaurant?
0.0  I know . But I must say it's still unacceptable . Couldn't you make a discount for me ? You see , we have such a long-term cooperation . And our business could be mutually beneficial . 	1.0  OK . I can make a special offer for you . This price is based on careful calculations . And it is the lowest price we can offer to you . 
0.0 Hi, I am a mechanic. I like to watch tv.	1.0 great job. I don't have one
0.0 Can you find me a spanish restaurant in the moderate price range?	1.0 Yes, La Tasca matches your preferences. Would you like their information?
0.0  It's good , try it . What do you think ? 	1.0  Wow . It is good . Did you make that also ? 
0.0 That's okay, maybe 12:00 will work? Try that please?	1.0 I booked you for 4 at 12.00 on Sunday. Your reference number is YJCTZH5F . Can I help you with anything else?
0.0 I am also looking for a place called Nandos, it is a restaurant.	1.0 I'd be happy to help with that! Nandos is a Portuguese Restaurant. They have two locations, one in the south and one in the centre. Would you like to book one of them?
0.0 I think everyone likes Chinese food.	1.0 What price range would you like?
0.0 how are you ?	1.0 I am fine,
0.0 Yes I'm also looking for a place to stay	1.0 I can help with that. Do you have any specifications?
0.0 No that is all. Thank you. Goodbye	1.0 Ok. Thank you. Goodbye.
0.0  Chen Hong , too . 	1.0  Hold on , please . Yes.you ’ re booked on ZN741 to Atlanta on July 18th . Your seats are in the first class section . 
0.0  I find the Chinese dishes wonderful . 	1.0  Well , it's getting late . I have to get up early tomorrow . So I must say good night . 
0.0  What do you want to eat ? 	1.0  Noodles . How about you ? 
0.0 I'd like to pick up my package . 	1.0  Here is the notice . 
0.0  We charge ten cents a copy . 	1.0  How many copies am I allowed to make ? 
0.0 Yes can you please and send me the reference number?	1.0 of course, how many nights will you be staying?
0.0  That's good . You can make breakfast yourself if you don't like it . 	1.0  What is there besides coffee ? 
0.0 Okay, now I'd like a taxi to take me from the hotel to Tenpin. I want to leave at 07:30. Please send the car type and contact number	1.0 I have you booked into a taxi, you can call them at 07622933733.
0.0 Not really	1.0 what do you do for a living  
0.0  Do you feel ok ? 	1.0  Not really . After a 12 - hour flight , I've got jetlag , and on top of that , I think I've also got the flu . 
0.0 I'm looking for a cheap restaurant in the west part of town. I'd also like the restaurant's phone number.	1.0 There are two cheap restaurants in the west part of town. La Margherita is an Italian restaurant and Thanh Binh is a Vietnamese restaurant. Would you like the phone number for one or both of those?
0.0 Is there one that serves chinese food?	1.0 There are three Chinese restaurants. They are charlie chan, rice house, and golden house. Does one appeal to you?
0.0 Thank you so much for this information.	1.0 Is there anything else I can help you with today?
0.0 It doesn't really matter, but I need to be there by 9:30. So, the closest I can get to that will be good.	1.0 Ok great. The TR1242 will fit your needs. How many tickets would you like to book?
0.0 I need to book a taxi from Saint Johns Chop House to Williams Art and Antiques please.	1.0 Not a problem, I will need your preferred pick up and arrival times in order to book your cab.
0.0 mediterranean food will be just fine	1.0 Do you have a price range in mind?
0.0  Thank you . And what's on tomorrow ? 	1.0  Tarzan . 
0.0  and you don't have to work under that much pressure and control . 	1.0  absolutely . I can decide when and what to do all by myself . 
0.0  That's a good idea . We can improve our technology to meet your special need . 	1.0  And please let white color dominate . 
0.0 i have read a few by timothy zahn . i am a chef . you ?	1.0 i am a housekeeper. tell me about your job
0.0 Yes I would like to find a restaurant that is in the cheap price range on the west side of town.	1.0 Would you prefer italian or vietnamese food?
0.0 A recommendation would be fine.	1.0 Alright, how about the yippee noodle bar?
0.0 OK, thank you so much, that is all that I need.	1.0 You're welcome. Have a great day.
0.0 This is your profile. During the dialog pretend to be this person	1.0 my favorite color is navy blue.
0.0 i work fulltime in a shipyard.	1.0 
0.0 i donate a part of my salary to charity each month.	1.0 
0.0 i volunteer my time with a local bunny rescue.	1.0 
0.0 No thank you, thank you for your help! Have a great day!	1.0 No problem. Thank you for contacting Cambridge Towninfo Centre.
0.0 What is its address?	1.0 The phone number is 01223247942 and postcode is cb28rj. Can I help you with anything else today?
0.0 you pay to do this  	1.0 i faint at the sight of blood
0.0 I will be leaving cambridge on wednesday after 20:00 to bishops stortford.	1.0 What time would you like your reservation to be?
0.0 Ye Ting , who are these people in the picture ? 	1.0  They're my family 
0.0 That's ok. I'll call them. Can you help me find a moderately priced place to stay?	1.0 Are you looking to stay in the east? There are three moderately priced, 4 star guesthouses there.
0.0  But I prefer burnt bread . 	1.0  Curse the worst oven in the world . 
0.0  do they serve the yogurt with anything ? 	1.0  I believe they add locally produced honey to it . 
0.0  Thanks for everything . 	1.0  You are very welcome . Come back again . 
0.0 Hello, I need to book a train at 07:15 leaving Cambridge going to the town center on Thursday for 7 people.	1.0 Sure I can help with that. There are no trains going to the town centre. Do you have another destination in mind?
0.0 That sounds nice. What type of attraction is that? Oh, and do you have their full address and phone number?	1.0 The Holy Trinity Church is an architecture attraction. The address is Market Street and the phone number is 01223355397.
0.0 I'm not sure.	1.0 D:
0.0 Wonderful, thank you. That is all I need for today. Bye.	1.0 Your welcome. Have a great day.
0.0 Yes, thanks. I am looking for a museum in the centre of town. What would you recommend?	1.0 There are lots of museums in the centre. Did you have a particular one in mind?
0.0 i also want a place to stay	1.0 There are 33 locations available. Is there a specific area you wish to stay in?
0.0 It doesn't matter to me.	1.0 the fez club is at 8 market passage and entrance feis 5 pounds. can we book this one?
0.0 I am looking for a moderate priced restaurant in the centre of town please.	1.0 There are over 20 options that fit that criteria, do you have a specific food type in mind?
0.0 When is the departure time for 10:07?	1.0 TR1923 departs cambridge at 9:50 and arrives in ely by 10:07, total travel time of 17 minutes. Do you want to book a ticket?
0.0 No, I do not need parking but need wifi while in the hotel.	1.0 Let me look for a hotel with wifi.
0.0  Yes , my office phone number is 373 ... 36 . 	1.0  What's the best time to call you , then ? 
0.0  Oh , it's rather too high . We have another offer for a similar one at a much lower price . 	1.0  However , the quality of our exercise books is better than others . I can assure you that our price is the most favorable . A trial will convince you of my words . 
0.0  ... Sorry , her line is busy at the moment . Can I take a message ? 	1.0  Sure . Can you have her call me back on my cell phone number ? 
0.0  Sorry . It is the smallest size we have . 	1.0  Too bad . But , is there any other leather store nearby ? 
0.0 i am leaving peterborough	1.0 Are you going to cambridge or ely? You've said both.
0.0 Can you make me a reservation for Thursday for 7 people at 19:00?	1.0 Okay, your Booking was successful. The table will be reserved for 15 minutes. The reference number is OXUW2L23 . Is there anything else I can help you with?
0.0 I need to arrive by 18:15 please.	1.0 First one arrives at 10:01, how many tickets please?
0.0 I'm flexible, but I need it to arrive by 13:15.	1.0 The TR1412 arrives in cambridge at 12:38. Would you like a ticket?
0.0 I have been a few years now.	1.0 I teach English, I love to teach high school
0.0 I'll be leaving cambridge and arriving at bishops stortford.	1.0 May I suggest TR7759 leaving Cambridge at 15:29 and arriving at Bishops Stortford at 16:07 on Thursday.
0.0  I ’ m willing to provide my services . 	1.0  What ’ s your rate ? 
0.0 How about three stars?	1.0 There are none found.
0.0 That sounds great. Can you book me a table for 12:00 on Sunday for 5 people please?	1.0 Your booking was successful. The table will be reserved for 15 minutes. Your reference number is : RTMFJMPT . Is there anything else I can assist you with?
0.0 I need a place for 5 nights. And I need it for 8 people.	1.0 Booking was successful. Reference number is : TGFJKYMX May I help you with anything else ?
0.0 i am in my 20s my brother has a son .	1.0 What is your favorite meal?
0.0 I want to leave by 05:00.	1.0 Booking completed! Booked car type : yellow bmw Contact number : 07229816957
0.0 I'm glad these batteries are on sale . 	1.0  I'm sorry . These batteries are not on sale . 
0.0 Thanks, lastly, I need a taxi to take me to the restaurant from the hotel, I want to get there before the booked time.	1.0 Your taxi will be a red audi. Should you need to contact them, the number is 07971260313.
0.0 Ouch , it ’ s unbearable . 	1.0  Please keep calm . I know the pain isn ’ t what flesh and blood can stand . But be brave . 
0.0 I would like to travel on monday, and arrive by 12:45	1.0 There is a train that arrives at 12:08. Would you like to travel on that train?
0.0 Great. Thanks for the information.	1.0 It will be located in the city centre.
0.0  Not necessary . If we use a realtor to find a house , it will be more expensive . 	1.0  What do you mean ? 
0.0 nah my family is away	1.0 I think they are.
0.0  It ’ s right this way . 	1.0  Thanks a lot for your help . 
0.0  Is this dine-in or take-out ? 	1.0  Take-out , please . 
0.0 Yes, I need of for seven people starting today and lasting five nights.	1.0 The Acorn guesthouse is able to accommodate you. Your reference number is 7RVELIR8 .
0.0 What did you say ? 	1.0  I said he was nothing but a yeoman . 
0.0 the county wide bake sale is where i feel most at home.	1.0 
0.0 i've a dogs.	1.0 
0.0 knitting is my passion.	1.0 
0.0 i love to bake cookies.	1.0 Searching for peer. Please wait...
0.0 No particular attraction in mind. What do you recommend?	1.0 Does it matter if there is a charge or do you prefer something that is free?
0.0  Is there one in particular that you like ? 	1.0  I was looking at this Kenmore refrigerator . 
0.0 book a table for 6 people at 12:00 on wednesday	1.0 I was able to book a table for 6 they will hold the table for you for 15 minutes. The reference number is M4ILDKD4 .
0.0 book it for 4 people and 3 nights starting from thursday	1.0 You're all set at the Acorn, reference #M1KYDQSW . Can I help you with anything else today?
0.0 Does it have free parking?	1.0 Yes it does! Shall I book that hotel for you?
0.0  When I asked how people were going to dress , Dr . Lite said it was casual . 	1.0  And you want to know what to wear ? 
0.0 I also need a train leaving on Sunday for London Liverpool Street.	1.0 Where will you be leaving from?
0.0  Huh ? What ? 	1.0  Just make sure you show your total , sign it , and turn it in . 
0.0 No, they are not a weird fetish to have.	1.0 Scorpions are not a fetish
0.0  If a passenger had a accident , what would you do ? 	1.0  I would give him or her basic first aid and ask my partner to call for assistance at the same time . 
0.0  Oh , good . If you could come around six thirty or seven o'clock , that would give us some time to chat a whit over a glass of wine before dinner . 	1.0  That sounds fine . I'll be there around seven . 
0.0 I am not doing that. I am just getting ready to go to work. Do you not like chicken?	1.0 what kind of question is that haha i like donuts man
0.0 The restaurant should serve seafood.	1.0 Loch Fyne is an expensive seafood restaurant in the centre. Should I book it?
0.0 What's the name of the singer who sings this song ? 	1.0  I can't remember . 
0.0  Yes . We must have the same exam tomorrow ! 	1.0  Do you want to study together ? 
0.0  Yes , I'd ask Jill , the girl I've had before , but I need someone overnight.Maybe even for two nights . 	1.0  I could have Suzy stay at my place . 
0.0  Your backpack is very big and today's flight is quite full . I am afraid that you will have to check your backpack too . 	1.0  No problem . What about this carry-on ? 
0.0 do you have any serves jamaican food ?	1.0 There aren't any Jamaican restaurants nearby, would you like another type of cuisine?
0.0 I need a train departing Cambridge and arriving by 08:00.	1.0 What is your destination and your departure day and time?
0.0 it absolutely must be a 3-star hotel	1.0 The Lensfield Hotel would meet your needs. It's located at 53-57 Lensfield Rd. Would you like me to book that for you?
0.0  Would it be full now ? 	1.0  I am really not sure . 
0.0  Mmm , well this is our “ I ’ m sorry I cheated on you ” package . Two dozen red roses lined with tulips , carnations and lilies . The fragrance and beauty of this flower arrangement is sure to make her forgive you . 	1.0  I don ’ t think that ’ s gonna cut it . I need something bigger and better ! 
0.0 Searching for peer. Please wait...	1.0 Partner found!
0.0  Good ! I'm interested in your advice . 	1.0  If I were you , I would change the beginning . You should write about your education first because we like to judge a man by his abilities . 
0.0 We will need free parking. Do any of the options have 4 stars?	1.0 Allenbell matches your requirements, would that work for you?
0.0  That's alright . I just can't bear losing track of all the latest information . It almost drives me crazy . 	1.0  Then , you're probably addicted . 
0.0 Hi! I need to get a train schedule, can you help me with this?	1.0 There are many trains. Any date/time/places you were looking to travel to?
0.0 How much does it cost to get in? My funds are very limited	1.0 no entrance fee charged
0.0 I'm looking for a boat attraction in the south.	1.0 There are plenty attractions to choose from.
0.0 Free entrance please! Can I get the contact information for there.	1.0 Sure. Gallery at Twelve A High Street is located at Fulbourn and its phone number is 01223295264. Would you like information for the other three?
0.0 I need an address for the cambridge leisure park.	1.0 The address for Tenpin is cambridge leisure park, clifton way in postcode cb17dy. Is there anything else I can do for you today?
0.0 we are planning a trip to japan at my college , hoping i've enough to go .	1.0 Are you a student?
0.0  Any time between 8 a . m . to 9 p . m . 	1.0  Ok . Thank you very much . 
0.0 Excuse me . I'd like to cash the traveler's check . 	1.0  No problem . How would like your money ? 
0.0 Okay thank you. That is all I need.	1.0 Okay thank you for calling.
0.0 Yes please book whichever one is earliest and make sure to get 2 tickets. Then give me the reference number	1.0 Your booking went through for the 05:59 train. Your reference number is D0FUB4UC, and that is payable at the station. Is there anything else I can assist you with?
0.0 i have 2 girls how old are your kids	1.0 My daughter is 15. How old are your girls?
0.0 Hey , Paul , why the long face ? 	1.0  It's difficult to explain . 
0.0 Hi, how are doing?	1.0 Ok
0.0 Can I get the address to the hospital in Cambridge?	1.0 Unfortunately, I do not have that information. Is there something else I can help you with?
0.0 I opened my mail , found this eviction notice , and don ’ t know what to do with it . 	1.0  Actually , it is a 30 - day notice to vacate the premises . 
0.0  Ya , they do . Anyone else come to mind ? 	1.0  Not at the moment , but I ’ ll let you know . 
0.0 I'm looking for a restaurant, somewhere not too expensive, but not bottom of the barrel either, something in the mid range.	1.0 There are 31. What kind of cuisine would you like?
0.0 Hello , is that Cathy speaking ? 	1.0  Yes , is that you , Allen ? 
0.0 No, I will be in the centre. How abut nightclubs? Are there any of those?	1.0 Yes, indeed, we have five nightclubs.
0.0 Dad , can you buy a new camera ? My old one has gone west . 	1.0  What ? I gave it to you only 3 months ago . 
0.0 Please pick one, and tell me the entrance fee and post code.	1.0 Emmanuel college is free to visit and the postal code is cb23ap.
0.0  Yeah . It ’ s a lot better than mine . 	1.0  But I still get stuck on the different tones.It drives me crazy . 
0.0 Good. Parvaneh, And your homework?	1.0 that is random
0.0 I also need a taxi.	1.0 Certainly! What are your departure and arrival destinations and when would you like to leave or arrive by?
0.0 Oh sorry, I wanted a train on Friday, not Saturday. Anything after 08:45 from london liverpool street. to cambridge.	1.0 I'm sorry. There is no train leaving from london live to cambridge on friday by 8:45. Would you like to try a different day or time?
0.0  The junior suite is smaller and has one twin bed , while the superior suite has a double bed and mini-bar . 	1.0  OK , I would like to reserve the superior suite . Is breakfast included ? 
0.0 that is cool , i am a pilot , so i am not sure , you ?	1.0 programmer
0.0  Well , first of all , I like to pamper myself , and my nails look great . You should come with me ! 	1.0  Why ? I don ’ t want to have nail polish or anything like that ! 
0.0 I want something expensive.	1.0 I think you would enjoy ugly duckling. Want more information?
0.0 What are you doing this weekend ? 	1.0  I'm going to the movies with a friend . How about you ? 
0.0  She will be OK . She is a tough cookie . 	1.0  That ’ s great news . 
0.0 What is the departure time?	1.0 7:00 , dop you need anything else ?
0.0 I like to travel a lot	1.0 Hello
0.0 Yes, can you tell me some good places to go while I'm in town?	1.0 There are lots of nice attractions in town. Do you have a preference for type or area?
0.0 What other days are available?	1.0 OK, I've successfully reserved a room for 4 people on Sunday night (Ref#HR5Q3JRU). Can I help with anything else today?
0.0  Oh , hello ! Sorry about that . I'm just calling to say that we've received your new Corporate Credit Card from HQ . 	1.0  That was quick ! I wasn't expecting it until later this week . 
0.0  Fine , thanks.And you ? 	1.0  Very well , thanks . 
0.0 Hey , Ann . You don't have a pen , do you ? 	1.0  Sure , here you go . 
0.0  Anything else ? 	1.0  I want to buy the toothpaste , the brand of Jiajieshi . 
0.0 Sounds perfect. Can you book me a table for 2 at 17:45 on wednesday?	1.0 I have booked a table for two at Eraina. Your reservation is at 17:45 on Wednesday, and your reference number is QEYTLGLK . Can I help you with anything else?
0.0 Hellow	1.0 Dude, I don't understand you. Please, use English. (¬‿¬)
0.0  Thanks . And how are your parents ? 	1.0  They're both very well , thanks . 
0.0 Hey, are you ok?	1.0 Are you here?
0.0 Thank you so much for all of your help today. I am all set. Bye.	1.0 From all of us at Cambridge, we hope you enjoy your stay! Farewell!
0.0 No, that'll be all. Thanks a lot.	1.0 You're very welcome. Have a great day.
0.0 that is great , i have a husband and son	1.0 Where are you from?
0.0 A huge game of what?	1.0 I like to play base
0.0 I'm looking for some fresh produce that's on sale . 	1.0  Well , we just got in some mangoes . 
0.0 i really like to read . you ? 🤖	1.0 i like to take walks with a good book. What is your favorite writers?
0.0  Premium , PLS . Could you check my tyres , too ? I think they need air . 	1.0  No problem , Madam . Should I check the air in the spare tyre as well ? 
0.0 Can we try to find one that is in the East please?	1.0 I have one, would you like me to book it ?
0.0 I need to find an indian restaurant.	1.0 great, what area are you thinking of?
0.0 What is the address and phone number of the Golden Wok?	1.0 the golden wok address is 191 histon road chesterton and the phone number is 01223 350688. is there anything else I can help you with?
0.0  That's true . But I love the living room ; it's huge and filled with sunshine . 	1.0  True , and I like the kitchen . It's new and well equipped . 
0.0 I am looking for information on the leverton house hotel	1.0 Leverton house is a guesthouse located in the east area. It's a 4 star hotel in the cheap price range. They offer internet and parking. Their phone number is 01223292094
0.0 Do you have any particular conditions that you would like our firm to take into consideration ? 	1.0  Yes . My house is far away from here . May I ask for an apartment ? 
0.0 The washing machine isn't working again . 	1.0  It's not my fault . 
0.0  Great . I'll take one . 	1.0  Have you heard about our special promotion this month ? If you purchase at least 200 yuan in any loreal products , you will receive this black hand bag with a sample of blusher , mascara and two shades of eye shadow . 
0.0 I definitely want someplace expensive. Does the Gardenia fit that description?	1.0 No that's the cheaper choice, La Mimosa and Shiraz Restaurant are both in the expensive price range.
0.0 Hi, I am looking for a place to eat in the centre of town.	1.0 I've found a lot of restaurants in the centre. Is there a specific type of food you're looking for?
0.0 Wow, you are snippy for an Info centre! Perhaps a museum.	1.0 I apologize for my early snappiness. I'd be happy to find a museum for you to visit while your here. Is there a particular area of town you'd like?
0.0  Who is your favorite hip hop artist ? 	1.0  I'm a big fan of Snoop Dog . 
0.0 what did you do today	1.0 I am a coach for a college team
0.0  I'm sorry , Mrs Li , Mr Brown is now in a meeting.May I have your number , and ask him to call you back later ? 	1.0  I'm afraid Mr Wilson would like to speak to Mr Brown right now.He ' s got an urgent matter to discuss with Mr Brown without delay . 
0.0  Do you expect a high salary ? 	1.0  In my mind , salary is not the most important thing . 
0.0  And that ’ s for each book that is late . 	1.0  That shouldn ’ t be a problem . 
0.0  That's true dedication . I'm impressed . When is it due ? 	1.0  We agreed that the deadline was next Friday . 
0.0 I need a taxi to commute between the two places. I want to leave the Restaurant at 15:45. Can I get the phone number and type of car?	1.0 A red volkswagen will take you from the acorn guest house to the sesame restaurant and bar. The contact number is 07193707133
0.0  Here you are . 	1.0  Okay , Susan . It says here that you are a business major and you are in your second year . Is this information correct ? 
0.0  Why ? 	1.0  You turned 18 a month before the election . 
0.0  I let you down . I'll make it up to you somehow . 	1.0  Not a bit of it , don't blame yourself . 
0.0 key... do you have a pair?	1.0 if you consider shoes 👢 and outfits art work then yes
0.0 No, that will be all. Thank you for your help!	1.0 Thank you for using our system today!
0.0 Could I also have the postcode please?	1.0 The postcode is CB11JG.
0.0 hello	1.0 do you like dogs? because i have a german shepherd dog
0.0 I need to find a train that goes to London Kings Cross from Cambridge please.	1.0 What day would you like to travel and when would you want to leave?
0.0 I would also like to book a taxi traveling between the two location.	1.0 Ok, which direction and what time?
0.0  Which charges are you talking about ? 	1.0  It ’ s the last four charges . 
0.0  Will that be all ? 	1.0  Yes . 
0.0 I actually need to leave after 20:30 on Friday. So whatever is closest to that time will be fine.	1.0 Okay. The TR4549 leaves at 21:29. Will that suit?
0.0 What are you two doing in here ? 	1.0  We heard you weren't feeling well , so we came to check on you . 
0.0  You can't prick the fish to please the sick tastes of some bloody people . 	1.0  Honey , it's not so serious . It's just an animal . 
0.0  That seems very impressive . Good work ! 	1.0  Thank you , but I cannot take all the credit . Our employees have all worked very hard to increase their productivity level . 
0.0  I could use some help on moving day . What are you doing on Saturday ? 	1.0  I think I am getting a fever and will be too sick to help you . Here , feel how hot my head is ! 
0.0 I would like a restaurant in the centre.	1.0 la raza is a cheap restaurant serving spanish food in the centre part of town. It's address is 4 - 6 Rose Crescent and it's post code is cb2311.
0.0 are you sure? it should be the type of a hotel	1.0 Yes this is correct there are none available sorry. Do you have any other preferences ?
0.0  Alright , then , with this chequing account you ’ ll be issued a debit card and a cheque book . Will you require overdraft protection ? There is an extra fee for that . 	1.0  No , that won ’ t be necessary . 
0.0  And she did her best to pull out the thorn in her flesh and the boy lost whatever made him happy . 	1.0  Poor child ! 
